column_variable,total_missing,percent_missing
rh_S_circular_insula_inf_meancurv_D,0,0.0
rh_S_circular_insula_sup_meancurv_D,0,0.0
rh_S_collat_transv_ant_meancurv_D,0,0.0
rh_S_collat_transv_post_meancurv_D,0,0.0
rh_S_front_inf_meancurv_D,0,0.0
rh_S_front_middle_meancurv_D,0,0.0
rh_S_front_sup_meancurv_D,0,0.0
rh_S_interm_prim.Jensen_meancurv_D,0,0.0
rh_S_intrapariet_and_P_trans_meancurv_D,0,0.0
rh_S_oc_middle_and_Lunatus_meancurv_D,0,0.0
rh_S_oc_sup_and_transversal_meancurv_D,0,0.0
rh_S_occipital_ant_meancurv_D,0,0.0
rh_S_oc.temp_lat_meancurv_D,0,0.0
rh_S_oc.temp_med_and_Lingual_meancurv_D,0,0.0
rh_S_orbital_lateral_meancurv_D,0,0.0
rh_S_orbital_med.olfact_meancurv_D,0,0.0
rh_S_orbital.H_Shaped_meancurv_D,0,0.0
rh_S_parieto_occipital_meancurv_D,0,0.0
rh_S_pericallosal_meancurv_D,0,0.0
rh_S_postcentral_meancurv_D,0,0.0
rh_S_precentral.inf.part_meancurv_D,0,0.0
rh_S_precentral.sup.part_meancurv_D,0,0.0
rh_S_suborbital_meancurv_D,0,0.0
rh_S_subparietal_meancurv_D,0,0.0
rh_S_temporal_inf_meancurv_D,0,0.0
rh_S_temporal_sup_meancurv_D,0,0.0
rh_S_temporal_transverse_meancurv_D,0,0.0
rh_G_and_S_frontomargin_gauscurv_D,0,0.0
rh_G_and_S_occipital_inf_gauscurv_D,0,0.0
rh_G_and_S_paracentral_gauscurv_D,0,0.0
rh_G_and_S_subcentral_gauscurv_D,0,0.0
rh_G_and_S_transv_frontopol_gauscurv_D,0,0.0
rh_G_and_S_cingul.Ant_gauscurv_D,0,0.0
rh_G_and_S_cingul.Mid.Ant_gauscurv_D,0,0.0
rh_G_and_S_cingul.Mid.Post_gauscurv_D,0,0.0
rh_G_cingul.Post.dorsal_gauscurv_D,0,0.0
rh_G_cingul.Post.ventral_gauscurv_D,0,0.0
rh_G_cuneus_gauscurv_D,0,0.0
rh_G_front_inf.Opercular_gauscurv_D,0,0.0
rh_G_front_inf.Orbital_gauscurv_D,0,0.0
rh_G_front_inf.Triangul_gauscurv_D,0,0.0
rh_G_front_middle_gauscurv_D,0,0.0
rh_G_front_sup_gauscurv_D,0,0.0
rh_G_Ins_lg_and_S_cent_ins_gauscurv_D,0,0.0
rh_G_insular_short_gauscurv_D,0,0.0
rh_G_occipital_middle_gauscurv_D,0,0.0
rh_G_occipital_sup_gauscurv_D,0,0.0
rh_G_oc.temp_lat.fusifor_gauscurv_D,0,0.0
rh_G_oc.temp_med.Lingual_gauscurv_D,0,0.0
rh_G_oc.temp_med.Parahip_gauscurv_D,0,0.0
rh_G_orbital_gauscurv_D,0,0.0
rh_G_pariet_inf.Angular_gauscurv_D,0,0.0
rh_G_pariet_inf.Supramar_gauscurv_D,0,0.0
rh_G_parietal_sup_gauscurv_D,0,0.0
rh_G_postcentral_gauscurv_D,0,0.0
rh_G_precentral_gauscurv_D,0,0.0
rh_G_precuneus_gauscurv_D,0,0.0
rh_G_rectus_gauscurv_D,0,0.0
rh_G_subcallosal_gauscurv_D,0,0.0
rh_G_temp_sup.G_T_transv_gauscurv_D,0,0.0
rh_G_temp_sup.Lateral_gauscurv_D,0,0.0
rh_G_temp_sup.Plan_polar_gauscurv_D,0,0.0
rh_G_temp_sup.Plan_tempo_gauscurv_D,0,0.0
rh_G_temporal_inf_gauscurv_D,0,0.0
rh_G_temporal_middle_gauscurv_D,0,0.0
rh_Lat_Fis.ant.Horizont_gauscurv_D,0,0.0
rh_Lat_Fis.ant.Vertical_gauscurv_D,0,0.0
rh_Lat_Fis.post_gauscurv_D,0,0.0
rh_Pole_occipital_gauscurv_D,0,0.0
rh_Pole_temporal_gauscurv_D,0,0.0
rh_S_calcarine_gauscurv_D,0,0.0
rh_S_central_gauscurv_D,0,0.0
rh_S_cingul.Marginalis_gauscurv_D,0,0.0
rh_S_circular_insula_ant_gauscurv_D,0,0.0
rh_S_circular_insula_inf_gauscurv_D,0,0.0
rh_S_circular_insula_sup_gauscurv_D,0,0.0
rh_S_collat_transv_ant_gauscurv_D,0,0.0
rh_S_collat_transv_post_gauscurv_D,0,0.0
rh_S_front_inf_gauscurv_D,0,0.0
rh_S_front_middle_gauscurv_D,0,0.0
rh_S_front_sup_gauscurv_D,0,0.0
rh_S_interm_prim.Jensen_gauscurv_D,0,0.0
rh_S_intrapariet_and_P_trans_gauscurv_D,0,0.0
rh_S_oc_middle_and_Lunatus_gauscurv_D,0,0.0
rh_S_oc_sup_and_transversal_gauscurv_D,0,0.0
rh_S_occipital_ant_gauscurv_D,0,0.0
rh_S_oc.temp_lat_gauscurv_D,0,0.0
rh_S_oc.temp_med_and_Lingual_gauscurv_D,0,0.0
rh_S_orbital_lateral_gauscurv_D,0,0.0
rh_S_orbital_med.olfact_gauscurv_D,0,0.0
rh_S_orbital.H_Shaped_gauscurv_D,0,0.0
rh_S_parieto_occipital_gauscurv_D,0,0.0
rh_S_pericallosal_gauscurv_D,0,0.0
rh_S_postcentral_gauscurv_D,0,0.0
rh_S_precentral.inf.part_gauscurv_D,0,0.0
rh_S_precentral.sup.part_gauscurv_D,0,0.0
rh_S_suborbital_gauscurv_D,0,0.0
rh_S_subparietal_gauscurv_D,0,0.0
rh_S_temporal_inf_gauscurv_D,0,0.0
rh_S_temporal_sup_gauscurv_D,0,0.0
rh_S_temporal_transverse_gauscurv_D,0,0.0
rh_G_and_S_frontomargin_foldind_D,0,0.0
rh_G_and_S_occipital_inf_foldind_D,0,0.0
rh_G_and_S_paracentral_foldind_D,0,0.0
rh_G_and_S_subcentral_foldind_D,0,0.0
rh_G_and_S_transv_frontopol_foldind_D,0,0.0
rh_G_and_S_cingul.Ant_foldind_D,0,0.0
rh_G_and_S_cingul.Mid.Ant_foldind_D,0,0.0
rh_G_and_S_cingul.Mid.Post_foldind_D,0,0.0
rh_G_cingul.Post.dorsal_foldind_D,0,0.0
rh_G_cingul.Post.ventral_foldind_D,0,0.0
rh_G_cuneus_foldind_D,0,0.0
rh_G_front_inf.Opercular_foldind_D,0,0.0
rh_G_front_inf.Orbital_foldind_D,0,0.0
rh_G_front_inf.Triangul_foldind_D,0,0.0
rh_G_front_middle_foldind_D,0,0.0
rh_G_front_sup_foldind_D,0,0.0
rh_G_Ins_lg_and_S_cent_ins_foldind_D,0,0.0
rh_G_insular_short_foldind_D,0,0.0
rh_G_occipital_middle_foldind_D,0,0.0
rh_G_occipital_sup_foldind_D,0,0.0
rh_G_oc.temp_lat.fusifor_foldind_D,0,0.0
rh_G_oc.temp_med.Lingual_foldind_D,0,0.0
rh_G_oc.temp_med.Parahip_foldind_D,0,0.0
rh_G_orbital_foldind_D,0,0.0
rh_G_pariet_inf.Angular_foldind_D,0,0.0
rh_G_pariet_inf.Supramar_foldind_D,0,0.0
rh_G_parietal_sup_foldind_D,0,0.0
rh_G_postcentral_foldind_D,0,0.0
rh_G_precentral_foldind_D,0,0.0
rh_G_precuneus_foldind_D,0,0.0
rh_G_rectus_foldind_D,0,0.0
rh_G_subcallosal_foldind_D,0,0.0
rh_G_temp_sup.G_T_transv_foldind_D,0,0.0
rh_G_temp_sup.Lateral_foldind_D,0,0.0
rh_G_temp_sup.Plan_polar_foldind_D,0,0.0
rh_G_temp_sup.Plan_tempo_foldind_D,0,0.0
rh_G_temporal_inf_foldind_D,0,0.0
rh_G_temporal_middle_foldind_D,0,0.0
rh_Lat_Fis.ant.Horizont_foldind_D,0,0.0
rh_Lat_Fis.ant.Vertical_foldind_D,0,0.0
rh_Lat_Fis.post_foldind_D,0,0.0
rh_Pole_occipital_foldind_D,0,0.0
rh_Pole_temporal_foldind_D,0,0.0
rh_S_calcarine_foldind_D,0,0.0
rh_S_central_foldind_D,0,0.0
rh_S_cingul.Marginalis_foldind_D,0,0.0
rh_S_circular_insula_ant_foldind_D,0,0.0
rh_S_circular_insula_inf_foldind_D,0,0.0
rh_S_circular_insula_sup_foldind_D,0,0.0
rh_S_collat_transv_ant_foldind_D,0,0.0
rh_S_collat_transv_post_foldind_D,0,0.0
rh_S_front_inf_foldind_D,0,0.0
rh_S_front_middle_foldind_D,0,0.0
rh_S_front_sup_foldind_D,0,0.0
rh_S_interm_prim.Jensen_foldind_D,0,0.0
